"code","question1","question2","question3","question4","question5","question6","question7","question8","question9","question10","question11","question12","question13","question14","question15","question16","question17","question18","vp_sum","vp_propcorrect","cb_sum","cb_propcorrect","csvtm_sum","cvstm_propcorrect","strategies","pre2","pre3","post","group_all","mean_rl_all","mean_e1_all","mean_d1_all","mean_d_all","time_rating","rating"
106,3,4,3,4,4,3,4,3,3,3,4,3,2,3,4,1,3,3,28,0.777777778,21,0.583333333,76,0.633333333,2,6,5.2,6,"above",5.95,2.3,3.4380335,39.875565,"pre1",4.8
106,3,4,3,4,4,3,4,3,3,3,4,3,2,3,4,1,3,3,28,0.777777778,21,0.583333333,76,0.633333333,2,6,5.2,6,"above",5.95,2.3,3.4380335,39.875565,"pre4",5.9
107,2,4,3,4,2,2,2,1,3,3,3,2,2,3,3,2,2,3,33,0.916666667,29,0.805555556,103,0.858333333,3,5.2,2.4,0.7,"below",4.35,3.85,5.4693425,33.219755,"pre1",6.6
107,2,4,3,4,2,2,2,1,3,3,3,2,2,3,3,2,2,3,33,0.916666667,29,0.805555556,103,0.858333333,3,5.2,2.4,0.7,"below",4.35,3.85,5.4693425,33.219755,"pre4",3.2
108,3,3,3,4,2,1,3,3,1,3,1,3,1,3,4,1,2,3,32,0.888888889,28,0.777777778,81,0.675,2,5.4,5.1,5.5,"above",4.6,3.8,7.7744925,48.887235,"pre1",4.1
108,3,3,3,4,2,1,3,3,1,3,1,3,1,3,4,1,2,3,32,0.888888889,28,0.777777778,81,0.675,2,5.4,5.1,5.5,"above",4.6,3.8,7.7744925,48.887235,"pre4",5.5
109,3,3,3,3,2,3,3,3,3,3,3,3,2,1,3,2,2,3,27,0.75,27,0.75,86,0.716666667,2,7.1,6.9,8.5,"above",7.75,2.3,5.139191,42.77611,"pre1",7
109,3,3,3,3,2,3,3,3,3,3,3,3,2,1,3,2,2,3,27,0.75,27,0.75,86,0.716666667,2,7.1,6.9,8.5,"above",7.75,2.3,5.139191,42.77611,"pre4",8.1
110,4,3,4,3,4,4,4,4,3,4,4,4,1,2,4,3,3,4,30,0.833333333,29,0.805555556,87,0.725,1,5.4,4.3,3.8,"control",4.6,3.2,4.5210985,33.127245,"pre1",5.8
110,4,3,4,3,4,4,4,4,3,4,4,4,1,2,4,3,3,4,30,0.833333333,29,0.805555556,87,0.725,1,5.4,4.3,3.8,"control",4.6,3.2,4.5210985,33.127245,"pre4",3.6
111,1,3,4,3,2,3,2,3,3,3,2,2,3,3,2,3,2,3,33,0.916666667,30,0.833333333,93,0.775,2,0.8,0.7,0.9,"below",7.9,1.7,2.03699035,36.475225,"pre1",0.6
111,1,3,4,3,2,3,2,3,3,3,2,2,3,3,2,3,2,3,33,0.916666667,30,0.833333333,93,0.775,2,0.8,0.7,0.9,"below",7.9,1.7,2.03699035,36.475225,"pre4",0.7
112,3,4,3,3,3,3,3,2,1,3,3,3,1,2,3,2,3,3,28,0.777777778,21,0.583333333,81,0.675,2,2.6,2.1,6.4,"control",6.95,1.65,2.9040635,46.1688,"pre1",4.9
112,3,4,3,3,3,3,3,2,1,3,3,3,1,2,3,2,3,3,28,0.777777778,21,0.583333333,81,0.675,2,2.6,2.1,6.4,"control",6.95,1.65,2.9040635,46.1688,"pre4",3.1
113,2,4,2,2,4,3,3,1,2,3,2,3,3,3,3,2,3,3,25,0.694444444,29,0.805555556,73,0.608333333,2,6,5,8,"control",6.55,2.4,1.90338495,28.74859,"pre1",6.3
113,2,4,2,2,4,3,3,1,2,3,2,3,3,3,3,2,3,3,25,0.694444444,29,0.805555556,73,0.608333333,2,6,5,8,"control",6.55,2.4,1.90338495,28.74859,"pre4",3.7
114,1,3,3,1,1,1,1,3,2,1,3,1,1,3,3,1,1,1,34,0.944444444,33,0.916666667,100,0.833333333,3,4,4,5,"below",2.7,5.05,16.483798,51.892135,"pre1",5.3
114,1,3,3,1,1,1,1,3,2,1,3,1,1,3,3,1,1,1,34,0.944444444,33,0.916666667,100,0.833333333,3,4,4,5,"below",2.7,5.05,16.483798,51.892135,"pre4",5
115,3,4,2,3,2,2,3,3,3,3,3,3,1,1,3,1,2,3,35,0.972222222,34,0.944444444,103,0.858333333,2,2.7,3.7,2,"below",4.75,3.35,4.2399405,36.22375,"pre1",5.4
115,3,4,2,3,2,2,3,3,3,3,3,3,1,1,3,1,2,3,35,0.972222222,34,0.944444444,103,0.858333333,2,2.7,3.7,2,"below",4.75,3.35,4.2399405,36.22375,"pre4",4.2
116,2,3,2,3,3,3,4,4,2,3,3,2,1,1,3,1,2,3,36,1,26,0.722222222,105,0.875,3,4.4,5.2,5.8,"control",5.65,2.8,6.2114465,45.057615,"pre1",4.7
116,2,3,2,3,3,3,4,4,2,3,3,2,1,1,3,1,2,3,36,1,26,0.722222222,105,0.875,3,4.4,5.2,5.8,"control",5.65,2.8,6.2114465,45.057615,"pre4",5.1
117,3,3,4,3,3,3,3,3,1,3,3,1,1,3,3,2,3,3,24,0.666666667,27,0.75,82,0.683333333,2,4.5,2.4,3,"below",7.05,2.4,4.663895,37.35039,"pre1",4.9
117,3,3,4,3,3,3,3,3,1,3,3,1,1,3,3,2,3,3,24,0.666666667,27,0.75,82,0.683333333,2,4.5,2.4,3,"below",7.05,2.4,4.663895,37.35039,"pre4",2.1
118,3,4,3,3,3,2,3,4,2,3,4,3,3,1,4,1,3,4,30,0.833333333,27,0.75,81,0.675,1,3,3.5,6,"control",4.8,3.95,6.5403275,39.106415,"pre1",6
118,3,4,3,3,3,2,3,4,2,3,4,3,3,1,4,1,3,4,30,0.833333333,27,0.75,81,0.675,1,3,3.5,6,"control",4.8,3.95,6.5403275,39.106415,"pre4",4.8
119,2,4,3,4,4,1,3,4,3,4,4,3,1,0,4,1,3,4,31,0.861111111,24,0.666666667,82,0.683333333,1,3.8,5.2,5.3,"above",4.9,3,5.21077,40.82666,"pre1",5.8
119,2,4,3,4,4,1,3,4,3,4,4,3,1,0,4,1,3,4,31,0.861111111,24,0.666666667,82,0.683333333,1,3.8,5.2,5.3,"above",4.9,3,5.21077,40.82666,"pre4",6
120,2,3,3,3,2,3,2,2,1,3,3,3,1,2,2,1,2,3,28,0.777777778,27,0.75,79,0.658333333,2,5.1,5,5.6,"above",6.35,2.4,2.9969658,39.629715,"pre1",4.7
120,2,3,3,3,2,3,2,2,1,3,3,3,1,2,2,1,2,3,28,0.777777778,27,0.75,79,0.658333333,2,5.1,5,5.6,"above",6.35,2.4,2.9969658,39.629715,"pre4",4.8
121,2,4,3,3,3,3,4,3,1,3,3,4,3,1,4,1,2,3,28,0.777777778,28,0.777777778,74,0.616666667,1,5.9,6.7,4.6,"above",4.95,3.45,15.6956665,77.57177,"pre1",5.4
121,2,4,3,3,3,3,4,3,1,3,3,4,3,1,4,1,2,3,28,0.777777778,28,0.777777778,74,0.616666667,1,5.9,6.7,4.6,"above",4.95,3.45,15.6956665,77.57177,"pre4",4.7
122,2,3,4,4,2,3,3,4,3,3,4,3,3,4,4,4,3,4,32,0.888888889,25,0.694444444,79,0.658333333,2,4,3.9,5.2,"below",6,3.7,15.599477,65.927505,"pre1",5.2
122,2,3,4,4,2,3,3,4,3,3,4,3,3,4,4,4,3,4,32,0.888888889,25,0.694444444,79,0.658333333,2,4,3.9,5.2,"below",6,3.7,15.599477,65.927505,"pre4",4.4
123,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,25,0.694444444,23,0.638888889,78,0.65,2,0.5,0.4,4.3,"below",5.55,3.35,8.539218,42.584935,"pre1",2
123,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,25,0.694444444,23,0.638888889,78,0.65,2,0.5,0.4,4.3,"below",5.55,3.35,8.539218,42.584935,"pre4",5
124,2,4,4,3,3,3,3,4,2,3,3,3,0,2,4,1,3,3,29,0.805555556,26,0.722222222,82,0.683333333,2,4.4,0.7,5.9,"control",7,2.15,2.713542,34.1605,"pre1",3.2
124,2,4,4,3,3,3,3,4,2,3,3,3,0,2,4,1,3,3,29,0.805555556,26,0.722222222,82,0.683333333,2,4.4,0.7,5.9,"control",7,2.15,2.713542,34.1605,"pre4",6.8
125,1,2,2,0,2,2,3,0,3,4,2,2,0,4,3,0,2,4,35,0.972222222,30,0.833333333,88,0.733333333,2,1.9,1.5,2.2,"below",5.15,3.55,5.418237,38.44862,"pre1",3.6
125,1,2,2,0,2,2,3,0,3,4,2,2,0,4,3,0,2,4,35,0.972222222,30,0.833333333,88,0.733333333,2,1.9,1.5,2.2,"below",5.15,3.55,5.418237,38.44862,"pre4",3.7
126,3,4,4,1,3,3,4,4,1,4,3,4,3,3,4,2,3,4,28,0.777777778,21,0.583333333,75,0.625,2,4.4,5.6,3,"below",5.8,3.55,9.8949285,47.676405,"pre1",4.7
126,3,4,4,1,3,3,4,4,1,4,3,4,3,3,4,2,3,4,28,0.777777778,21,0.583333333,75,0.625,2,4.4,5.6,3,"below",5.8,3.55,9.8949285,47.676405,"pre4",5
127,2,3,2,1,2,2,3,2,3,1,2,2,3,1,3,1,2,1,25,0.694444444,25,0.694444444,84,0.7,1,5.4,7,7.3,"above",5.9,2.9,4.697852,41.68368,"pre1",4.8
127,2,3,2,1,2,2,3,2,3,1,2,2,3,1,3,1,2,1,25,0.694444444,25,0.694444444,84,0.7,1,5.4,7,7.3,"above",5.9,2.9,4.697852,41.68368,"pre4",7.5
128,2,2,3,3,3,3,2,3,1,1,1,1,4,1,4,2,2,1,33,0.916666667,33,0.916666667,93,0.775,2,3.4,2.1,0.5,"below",5.3,3.4,6.0631235,45.971035,"pre1",5
128,2,2,3,3,3,3,2,3,1,1,1,1,4,1,4,2,2,1,33,0.916666667,33,0.916666667,93,0.775,2,3.4,2.1,0.5,"below",5.3,3.4,6.0631235,45.971035,"pre4",1.7
129,2,4,3,4,4,1,3,4,2,4,4,4,3,3,4,2,3,4,34,0.944444444,29,0.805555556,99,0.825,2,5.5,4.6,4.8,"above",4.55,2.9,4.7381645,33.552065,"pre1",4.7
129,2,4,3,4,4,1,3,4,2,4,4,4,3,3,4,2,3,4,34,0.944444444,29,0.805555556,99,0.825,2,5.5,4.6,4.8,"above",4.55,2.9,4.7381645,33.552065,"pre4",4.9
130,2,4,3,3,2,3,2,3,3,2,3,3,3,2,3,1,2,4,27,0.75,28,0.777777778,77,0.641666667,1,4.9,4.9,6.7,"above",5.55,2.75,7.456447,42.09061,"pre1",5.2
130,2,4,3,3,2,3,2,3,3,2,3,3,3,2,3,1,2,4,27,0.75,28,0.777777778,77,0.641666667,1,4.9,4.9,6.7,"above",5.55,2.75,7.456447,42.09061,"pre4",5.3
131,3,3,4,3,3,4,3,3,1,4,4,3,2,3,4,2,3,4,34,0.944444444,28,0.777777778,95,0.791666667,2,0.9,1.7,0.6,"below",5.75,2.9,5.3212055,48.208465,"pre1",3.7
131,3,3,4,3,3,4,3,3,1,4,4,3,2,3,4,2,3,4,34,0.944444444,28,0.777777778,95,0.791666667,2,0.9,1.7,0.6,"below",5.75,2.9,5.3212055,48.208465,"pre4",1.4
132,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,25,0.694444444,33,0.916666667,96,0.8,1,7.3,6.7,4,"below",4.5,3.85,5.718614,38.42954,"pre1",6.3
132,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,25,0.694444444,33,0.916666667,96,0.8,1,7.3,6.7,4,"below",4.5,3.85,5.718614,38.42954,"pre4",7
133,2,4,4,3,2,3,1,1,2,3,3,2,1,3,2,3,2,2,35,0.972222222,27,0.75,86,0.716666667,1,3.3,2.6,2.3,"below",5.35,2.95,4.9862325,35.57713,"pre1",4.1
133,2,4,4,3,2,3,1,1,2,3,3,2,1,3,2,3,2,2,35,0.972222222,27,0.75,86,0.716666667,1,3.3,2.6,2.3,"below",5.35,2.95,4.9862325,35.57713,"pre4",1.8
134,3,3,3,2,1,1,3,4,3,3,3,3,1,3,4,2,3,3,28,0.777777778,27,0.75,94,0.783333333,1,5,4.8,3.4,"control",4.25,3.6,7.648637,46.14483,"pre1",5
134,3,3,3,2,1,1,3,4,3,3,3,3,1,3,4,2,3,3,28,0.777777778,27,0.75,94,0.783333333,1,5,4.8,3.4,"control",4.25,3.6,7.648637,46.14483,"pre4",6.2
135,0,3,3,1,1,2,3,3,3,2,3,1,2,1,3,2,1,3,30,0.833333333,22,0.611111111,80,0.666666667,2,2.6,2.6,2.1,"below",4.9,3.7,12.5562635,45.789515,"pre1",3.3
135,0,3,3,1,1,2,3,3,3,2,3,1,2,1,3,2,1,3,30,0.833333333,22,0.611111111,80,0.666666667,2,2.6,2.6,2.1,"below",4.9,3.7,12.5562635,45.789515,"pre4",1.8
136,0,4,3,1,1,2,0,1,4,3,2,2,1,0,3,0,1,2,35,0.972222222,29,0.805555556,102,0.85,1,5.4,2.3,6.9,"below",4.5,3.95,6.9003645,34.23783,"pre1",9.1
136,0,4,3,1,1,2,0,1,4,3,2,2,1,0,3,0,1,2,35,0.972222222,29,0.805555556,102,0.85,1,5.4,2.3,6.9,"below",4.5,3.95,6.9003645,34.23783,"pre4",3.2
137,2,3,4,3,2,0,3,4,1,3,3,3,1,2,4,2,2,3,34,0.944444444,33,0.916666667,93,0.775,2,7.8,6.5,8,"above",4.45,3.55,2.7276685,29.107285,"pre1",6.5
137,2,3,4,3,2,0,3,4,1,3,3,3,1,2,4,2,2,3,34,0.944444444,33,0.916666667,93,0.775,2,7.8,6.5,8,"above",4.45,3.55,2.7276685,29.107285,"pre4",4.5
138,1,4,3,3,2,2,3,3,1,4,3,2,1,3,4,3,2,4,24,0.666666667,26,0.722222222,81,0.675,2,4.1,4.8,4.5,"below",4.2,3.45,6.031325,40.1001,"pre1",4.6
138,1,4,3,3,2,2,3,3,1,4,3,2,1,3,4,3,2,4,24,0.666666667,26,0.722222222,81,0.675,2,4.1,4.8,4.5,"below",4.2,3.45,6.031325,40.1001,"pre4",4.9
139,2,3,3,3,2,3,3,3,3,3,2,3,3,3,3,3,2,3,32,0.888888889,27,0.75,92,0.766666667,2,2.7,2.2,1.3,"below",6.3,3.05,4.115853,37.307335,"pre1",6
139,2,3,3,3,2,3,3,3,3,3,2,3,3,3,3,3,2,3,32,0.888888889,27,0.75,92,0.766666667,2,2.7,2.2,1.3,"below",6.3,3.05,4.115853,37.307335,"pre4",1.3
140,3,3,3,3,4,4,4,4,3,4,2,3,3,2,4,4,4,4,27,0.75,25,0.694444444,82,0.683333333,1,1.3,0.8,5.6,"below",6.25,3.35,4.6913835,33.95859,"pre1",4.7
140,3,3,3,3,4,4,4,4,3,4,2,3,3,2,4,4,4,4,27,0.75,25,0.694444444,82,0.683333333,1,1.3,0.8,5.6,"below",6.25,3.35,4.6913835,33.95859,"pre4",0.5
141,2,4,3,4,2,2,4,3,1,4,4,3,3,3,3,3,2,3,24,0.666666667,18,0.5,80,0.666666667,1,3.3,3.6,3.2,"control",6.8,2.4,4.426868,39.05925,"pre1",4
141,2,4,3,4,2,2,4,3,1,4,4,3,3,3,3,3,2,3,24,0.666666667,18,0.5,80,0.666666667,1,3.3,3.6,3.2,"control",6.8,2.4,4.426868,39.05925,"pre4",3.4
142,2,4,3,4,3,1,3,3,3,3,3,2,1,3,3,1,3,3,28,0.777777778,25,0.694444444,96,0.8,3,3.1,2.5,3.2,"below",5.5,3.5,12.4340035,50.51651,"pre1",5.1
142,2,4,3,4,3,1,3,3,3,3,3,2,1,3,3,1,3,3,28,0.777777778,25,0.694444444,96,0.8,3,3.1,2.5,3.2,"below",5.5,3.5,12.4340035,50.51651,"pre4",2.4
143,2,4,3,3,3,3,3,3,2,3,4,1,1,1,3,1,2,3,30,0.833333333,28,0.777777778,89,0.741666667,1,3.8,1.8,5,"below",5.15,3.4,5.3691705,39.41952,"pre1",5.6
143,2,4,3,3,3,3,3,3,2,3,4,1,1,1,3,1,2,3,30,0.833333333,28,0.777777778,89,0.741666667,1,3.8,1.8,5,"below",5.15,3.4,5.3691705,39.41952,"pre4",3.4
144,0,2,1,2,0,0,1,3,2,1,0,0,0,0,1,3,0,1,31,0.861111111,30,0.833333333,109,0.908333333,2,5,4.9,6.8,"below",4.5,3.35,3.456777,30.14677,"pre1",5.6
144,0,2,1,2,0,0,1,3,2,1,0,0,0,0,1,3,0,1,31,0.861111111,30,0.833333333,109,0.908333333,2,5,4.9,6.8,"below",4.5,3.35,3.456777,30.14677,"pre4",4.7
145,2,3,4,1,1,3,2,3,1,1,1,3,3,3,3,1,1,2,31,0.861111111,28,0.777777778,85,0.708333333,2,3.9,2.5,3.5,"below",4.65,3.55,16.2749135,61.961025,"pre1",4.4
145,2,3,4,1,1,3,2,3,1,1,1,3,3,3,3,1,1,2,31,0.861111111,28,0.777777778,85,0.708333333,2,3.9,2.5,3.5,"below",4.65,3.55,16.2749135,61.961025,"pre4",3.3
146,3,3,3,2,1,1,3,2,3,2,1,3,3,1,3,1,3,2,31,0.861111111,27,0.75,80,0.666666667,2,6.3,5.5,5.7,"above",4.25,3.55,5.1271425,39.798585,"pre1",5
146,3,3,3,2,1,1,3,2,3,2,1,3,3,1,3,1,3,2,31,0.861111111,27,0.75,80,0.666666667,2,6.3,5.5,5.7,"above",4.25,3.55,5.1271425,39.798585,"pre4",5.6
147,1,2,4,3,1,2,1,1,2,1,3,1,2,3,3,1,1,1,28,0.777777778,24,0.666666667,82,0.683333333,2,4.4,5.4,3.3,"below",5.45,2.9,6.0245125,50.32073,"pre1",4.6
147,1,2,4,3,1,2,1,1,2,1,3,1,2,3,3,1,1,1,28,0.777777778,24,0.666666667,82,0.683333333,2,4.4,5.4,3.3,"below",5.45,2.9,6.0245125,50.32073,"pre4",5.7
148,2,3,3,4,3,3,2,4,0,4,4,2,4,3,3,4,3,4,21,0.583333333,27,0.75,74,0.616666667,2,7.4,3.8,2.1,"control",4.6,3.95,4.932856,33.00022,"pre1",5.5
148,2,3,3,4,3,3,2,4,0,4,4,2,4,3,3,4,3,4,21,0.583333333,27,0.75,74,0.616666667,2,7.4,3.8,2.1,"control",4.6,3.95,4.932856,33.00022,"pre4",7.9
149,3,4,4,4,3,3,3,4,0,4,4,3,2,3,3,2,3,3,28,0.777777778,30,0.833333333,103,0.858333333,2,7.5,7.3,5.4,"above",6.05,2.25,2.8203645,31.970355,"pre1",7.7
149,3,4,4,4,3,3,3,4,0,4,4,3,2,3,3,2,3,3,28,0.777777778,30,0.833333333,103,0.858333333,2,7.5,7.3,5.4,"above",6.05,2.25,2.8203645,31.970355,"pre4",6.9
150,1,1,3,0,1,0,1,4,1,0,0,1,1,1,1,0,1,0,26,0.722222222,25,0.694444444,74,0.616666667,2,4.1,4.2,4.9,"control",5.45,2.4,3.38301,36.517235,"pre1",4.8
150,1,1,3,0,1,0,1,4,1,0,0,1,1,1,1,0,1,0,26,0.722222222,25,0.694444444,74,0.616666667,2,4.1,4.2,4.9,"control",5.45,2.4,3.38301,36.517235,"pre4",3.8
151,3,3,3,2,3,2,2,3,0,3,3,3,0,2,3,0,2,3,29,0.805555556,26,0.722222222,97,0.808333333,2,4.3,3.5,1.8,"above",5.1,3.05,6.032548,39.57001,"pre1",3.5
151,3,3,3,2,3,2,2,3,0,3,3,3,0,2,3,0,2,3,29,0.805555556,26,0.722222222,97,0.808333333,2,4.3,3.5,1.8,"above",5.1,3.05,6.032548,39.57001,"pre4",1.3
152,2,3,3,4,1,2,1,4,3,4,1,2,3,2,2,1,2,3,33,0.916666667,31,0.861111111,92,0.766666667,2,5.5,1.8,5,"below",5.9,2.4,2.2408995,28.155385,"pre1",7.6
152,2,3,3,4,1,2,1,4,3,4,1,2,3,2,2,1,2,3,33,0.916666667,31,0.861111111,92,0.766666667,2,5.5,1.8,5,"below",5.9,2.4,2.2408995,28.155385,"pre4",1
153,1,3,3,1,2,2,3,3,1,2,3,2,0,1,2,0,2,2,28,0.777777778,29,0.805555556,84,0.7,2,4.7,5.1,6.2,"above",5.05,2.95,6.236498,43.335715,"pre1",4.3
153,1,3,3,1,2,2,3,3,1,2,3,2,0,1,2,0,2,2,28,0.777777778,29,0.805555556,84,0.7,2,4.7,5.1,6.2,"above",5.05,2.95,6.236498,43.335715,"pre4",6.7
154,2,3,3,1,3,2,2,3,3,1,3,3,1,1,4,1,2,1,29,0.805555556,31,0.861111111,88,0.733333333,2,3.7,6.2,2.6,"above",4.45,3.7,5.230533,37.88155,"pre1",5.5
154,2,3,3,1,3,2,2,3,3,1,3,3,1,1,4,1,2,1,29,0.805555556,31,0.861111111,88,0.733333333,2,3.7,6.2,2.6,"above",4.45,3.7,5.230533,37.88155,"pre4",2.6
155,1,3,4,3,2,3,2,4,4,3,3,1,3,3,4,1,2,3,27,0.75,27,0.75,97,0.808333333,2,4.6,3.4,6.8,"control",5.8,3.55,9.594206,47.037585,"pre1",3.3
155,1,3,4,3,2,3,2,4,4,3,3,1,3,3,4,1,2,3,27,0.75,27,0.75,97,0.808333333,2,4.6,3.4,6.8,"control",5.8,3.55,9.594206,47.037585,"pre4",5
156,2,3,3,3,3,3,2,4,3,4,4,3,2,2,3,4,3,3,33,0.916666667,29,0.805555556,72,0.6,1,5,5.2,5,"control",3.45,4.3,15.663824,60.61347,"pre1",6.9
156,2,3,3,3,3,3,2,4,3,4,4,3,2,2,3,4,3,3,33,0.916666667,29,0.805555556,72,0.6,1,5,5.2,5,"control",3.45,4.3,15.663824,60.61347,"pre4",6.8
157,3,4,4,3,3,3,4,4,1,3,3,3,3,3,4,2,3,3,30,0.833333333,31,0.861111111,87,0.725,3,7.1,6.8,3.7,"control",5.3,2.65,9.108837,46.662955,"pre1",6.9
157,3,4,4,3,3,3,4,4,1,3,3,3,3,3,4,2,3,3,30,0.833333333,31,0.861111111,87,0.725,3,7.1,6.8,3.7,"control",5.3,2.65,9.108837,46.662955,"pre4",6
158,3,4,4,4,3,4,4,4,3,4,4,0,2,4,4,3,4,4,31,0.861111111,26,0.722222222,86,0.716666667,1,5.3,7.9,8.5,"above",6.75,2.4,4.725188,38.85564,"pre1",7
158,3,4,4,4,3,4,4,4,3,4,4,0,2,4,4,3,4,4,31,0.861111111,26,0.722222222,86,0.716666667,1,5.3,7.9,8.5,"above",6.75,2.4,4.725188,38.85564,"pre4",8.4
159,3,4,3,4,3,3,4,4,2,4,4,3,3,3,4,1,3,4,26,0.722222222,27,0.75,85,0.708333333,2,4.6,5.8,5.4,"control",4.2,4.1,9.046077,45.51007,"pre1",6.5
159,3,4,3,4,3,3,4,4,2,4,4,3,3,3,4,1,3,4,26,0.722222222,27,0.75,85,0.708333333,2,4.6,5.8,5.4,"control",4.2,4.1,9.046077,45.51007,"pre4",3.4
