"","code","question1","question2","question3","question4","question5","question6","question7","question8","question9","question10","question11","question12","question13","question14","question15","question16","question17","question18","vp_sum","vp_propcorrect","cb_sum","cb_propcorrect","csvtm_sum","cvstm_propcorrect","strategies","pre2","pre3","post","group_all","mean_rl_all","mean_e1_all","mean_d1_all","mean_d_all","time_rating","rating"
"1",1,2,3,3,3,2,3,3,3,2,3,3,3,2,2,3,2,3,2,33,0.916666667,26,0.722222222,70,0.583333333,1,7.5,7.4,7,"above",5.95,3.05,3.9007195,32.773125,"pre1",6.2
"2",1,2,3,3,3,2,3,3,3,2,3,3,3,2,2,3,2,3,2,33,0.916666667,26,0.722222222,70,0.583333333,1,7.5,7.4,7,"above",5.95,3.05,3.9007195,32.773125,"pre4",6.2
"3",2,3,4,3,4,3,3,3,3,3,3,3,3,3,2,4,4,3,3,27,0.75,27,0.75,73,0.608333333,1,5.5,2.5,2.1,"control",5.35,3.25,16.3936395,71.17568,"pre1",5.5
"4",2,3,4,3,4,3,3,3,3,3,3,3,3,3,2,4,4,3,3,27,0.75,27,0.75,73,0.608333333,1,5.5,2.5,2.1,"control",5.35,3.25,16.3936395,71.17568,"pre4",4.4
"5",3,2,3,2,1,2,2,2,2,1,1,1,2,1,0,2,1,2,0,33,0.916666667,30,0.833333333,93,0.775,2,4.5,2.5,3.2,"below",4.8,3.25,5.576016,36.187635,"pre1",8.7
"6",3,2,3,2,1,2,2,2,2,1,1,1,2,1,0,2,1,2,0,33,0.916666667,30,0.833333333,93,0.775,2,4.5,2.5,3.2,"below",4.8,3.25,5.576016,36.187635,"pre4",2.5
"7",4,1,2,2,3,1,2,2,0,2,3,1,1,3,2,2,1,1,0,31,0.861111111,27,0.75,83,0.691666667,2,0.9,1.1,0.6,"below",6.55,2.55,4.7382675,44.018895,"pre1",5.2
"8",4,1,2,2,3,1,2,2,0,2,3,1,1,3,2,2,1,1,0,31,0.861111111,27,0.75,83,0.691666667,2,0.9,1.1,0.6,"below",6.55,2.55,4.7382675,44.018895,"pre4",0.6
"9",5,3,4,4,2,4,4,4,3,1,4,3,3,1,1,4,2,3,4,32,0.888888889,25,0.694444444,79,0.658333333,1,4.6,6.7,6.3,"above",6.15,2.5,5.5296305,42.3393,"pre1",8.1
"10",5,3,4,4,2,4,4,4,3,1,4,3,3,1,1,4,2,3,4,32,0.888888889,25,0.694444444,79,0.658333333,1,4.6,6.7,6.3,"above",6.15,2.5,5.5296305,42.3393,"pre4",6.2
"11",6,1,3,3,4,3,3,3,4,4,4,3,3,2,3,3,3,3,3,24,0.666666667,23,0.638888889,72,0.6,2,3.3,2.9,2.2,"control",6.05,3.05,8.1799,45.001775,"pre1",4.9
"12",6,1,3,3,4,3,3,3,4,4,4,3,3,2,3,3,3,3,3,24,0.666666667,23,0.638888889,72,0.6,2,3.3,2.9,2.2,"control",6.05,3.05,8.1799,45.001775,"pre4",2.1
"13",7,1,3,3,1,2,2,0,1,2,1,1,1,1,0,1,1,1,1,28,0.777777778,28,0.777777778,94,0.783333333,2,4.2,7,5.2,"control",5,3.3,6.0338725,39.379595,"pre1",6.8
"14",7,1,3,3,1,2,2,0,1,2,1,1,1,1,0,1,1,1,1,28,0.777777778,28,0.777777778,94,0.783333333,2,4.2,7,5.2,"control",5,3.3,6.0338725,39.379595,"pre4",2
"15",8,1,2,3,3,2,1,2,3,1,2,1,2,1,1,4,1,1,1,27,0.75,27,0.75,85,0.708333333,2,1.8,1.9,2.1,"below",5.4,3.3,8.40339,55.312785,"pre1",6.5
"16",8,1,2,3,3,2,1,2,3,1,2,1,2,1,1,4,1,1,1,27,0.75,27,0.75,85,0.708333333,2,1.8,1.9,2.1,"below",5.4,3.3,8.40339,55.312785,"pre4",2.3
"17",9,2,3,3,3,3,3,3,3,3,3,3,3,2,2,3,2,2,3,28,0.777777778,30,0.833333333,72,0.6,1,6.6,6.3,7,"above",4.5,3.45,5.404353,39.22149,"pre1",5.2
"18",9,2,3,3,3,3,3,3,3,3,3,3,3,2,2,3,2,2,3,28,0.777777778,30,0.833333333,72,0.6,1,6.6,6.3,7,"above",4.5,3.45,5.404353,39.22149,"pre4",6.5
"19",10,1,4,4,4,3,4,4,3,2,4,3,3,2,3,4,3,3,4,26,0.722222222,26,0.722222222,90,0.75,2,1.5,1.8,1.8,"below",6,2.65,4.274488,39.475235,"pre1",6.6
"20",10,1,4,4,4,3,4,4,3,2,4,3,3,2,3,4,3,3,4,26,0.722222222,26,0.722222222,90,0.75,2,1.5,1.8,1.8,"below",6,2.65,4.274488,39.475235,"pre4",2
"21",11,4,2,4,4,3,3,4,4,0,3,3,4,3,3,4,3,2,3,34,0.944444444,29,0.805555556,96,0.8,2,7.1,6.9,7,"below",4.65,3.15,7.199051,42.991475,"pre1",6.3
"22",11,4,2,4,4,3,3,4,4,0,3,3,4,3,3,4,3,2,3,34,0.944444444,29,0.805555556,96,0.8,2,7.1,6.9,7,"below",4.65,3.15,7.199051,42.991475,"pre4",8.5
"23",12,2,3,3,2,2,1,1,3,0,1,1,1,0,0,3,0,2,1,18,0.5,29,0.805555556,91,0.758333333,2,3.2,3.4,5,"control",4.6,3.4,2.88741,33.83825,"pre1",3.9
"24",12,2,3,3,2,2,1,1,3,0,1,1,1,0,0,3,0,2,1,18,0.5,29,0.805555556,91,0.758333333,2,3.2,3.4,5,"control",4.6,3.4,2.88741,33.83825,"pre4",0.9
"25",13,3,4,4,4,3,3,4,4,2,4,3,3,2,3,4,2,2,4,32,0.888888889,26,0.722222222,106,0.883333333,1,2.5,5.1,4.9,"control",4.5,3.5,4.5975385,35.041325,"pre1",4.9
"26",13,3,4,4,4,3,3,4,4,2,4,3,3,2,3,4,2,2,4,32,0.888888889,26,0.722222222,106,0.883333333,1,2.5,5.1,4.9,"control",4.5,3.5,4.5975385,35.041325,"pre4",2.9
"27",14,3,3,4,3,3,3,3,3,1,3,2,3,2,3,3,2,2,3,35,0.972222222,28,0.777777778,86,0.716666667,2,2.1,4.2,5.9,"control",5.05,2.75,4.0557805,39.577225,"pre1",5
"28",14,3,3,4,3,3,3,3,3,1,3,2,3,2,3,3,2,2,3,35,0.972222222,28,0.777777778,86,0.716666667,2,2.1,4.2,5.9,"control",5.05,2.75,4.0557805,39.577225,"pre4",4.7
"29",15,3,4,3,3,4,3,3,3,3,4,3,3,1,3,4,3,3,3,34,0.944444444,32,0.888888889,82,0.683333333,1,5.5,5.6,6.4,"above",3.95,3.45,7.095413,40.827325,"pre1",5.9
"30",15,3,4,3,3,4,3,3,3,3,4,3,3,1,3,4,3,3,3,34,0.944444444,32,0.888888889,82,0.683333333,1,5.5,5.6,6.4,"above",3.95,3.45,7.095413,40.827325,"pre4",6.3
"31",16,0,1,2,1,0,1,1,0,3,0,1,1,3,2,1,1,0,0,32,0.888888889,28,0.777777778,87,0.725,2,2.3,1.9,1.9,"below",3.2,4.75,11.8771785,49.639495,"pre1",2.3
"32",16,0,1,2,1,0,1,1,0,3,0,1,1,3,2,1,1,0,0,32,0.888888889,28,0.777777778,87,0.725,2,2.3,1.9,1.9,"below",3.2,4.75,11.8771785,49.639495,"pre4",1.7
"33",17,0,1,1,1,0,0,1,2,1,1,2,1,1,0,2,0,1,1,32,0.888888889,28,0.777777778,86,0.716666667,1,1,1.5,1.3,"below",3.85,4.1,10.923,47.690375,"pre1",5
"34",17,0,1,1,1,0,0,1,2,1,1,2,1,1,0,2,0,1,1,32,0.888888889,28,0.777777778,86,0.716666667,1,1,1.5,1.3,"below",3.85,4.1,10.923,47.690375,"pre4",1.3
"35",18,1,4,3,3,3,3,4,3,1,4,2,3,3,3,4,1,3,3,33,0.916666667,27,0.75,88,0.733333333,1,2.8,3.8,3.7,"below",3.95,3.85,6.904739,40.771755,"pre1",6.4
"36",18,1,4,3,3,3,3,4,3,1,4,2,3,3,3,4,1,3,3,33,0.916666667,27,0.75,88,0.733333333,1,2.8,3.8,3.7,"below",3.95,3.85,6.904739,40.771755,"pre4",7.6
"37",19,2,2,3,3,2,3,1,3,1,2,1,1,4,1,2,1,2,2,31,0.861111111,27,0.75,87,0.725,2,4.6,3.4,4.7,"below",5.05,3.6,8.883278,53.09936,"pre1",5.6
"38",19,2,2,3,3,2,3,1,3,1,2,1,1,4,1,2,1,2,2,31,0.861111111,27,0.75,87,0.725,2,4.6,3.4,4.7,"below",5.05,3.6,8.883278,53.09936,"pre4",3.3
"39",20,3,4,4,4,4,3,4,4,1,4,2,3,1,3,4,1,3,4,29,0.805555556,24,0.666666667,85,0.708333333,1,3.4,2.5,1.8,"control",4.65,4.6,19.5261635,56.095025,"pre1",4.1
"40",20,3,4,4,4,4,3,4,4,1,4,2,3,1,3,4,1,3,4,29,0.805555556,24,0.666666667,85,0.708333333,1,3.4,2.5,1.8,"control",4.65,4.6,19.5261635,56.095025,"pre4",2.3
"41",21,2,4,3,3,3,2,3,2,3,3,3,3,2,1,4,3,2,3,34,0.944444444,30,0.833333333,75,0.625,1,5.5,5,4.3,"control",4.9,3.85,6.848548,41.654715,"pre1",6
"42",21,2,4,3,3,3,2,3,2,3,3,3,3,2,1,4,3,2,3,34,0.944444444,30,0.833333333,75,0.625,1,5.5,5,4.3,"control",4.9,3.85,6.848548,41.654715,"pre4",7.4
"43",22,1,3,4,3,2,3,1,2,3,3,3,2,1,3,4,2,2,2,28,0.777777778,26,0.722222222,87,0.725,3,3,3,5,"below",5.9,3.4,7.4477925,54.876435,"pre1",4.6
"44",22,1,3,4,3,2,3,1,2,3,3,3,2,1,3,4,2,2,2,28,0.777777778,26,0.722222222,87,0.725,3,3,3,5,"below",5.9,3.4,7.4477925,54.876435,"pre4",2.6
"45",23,3,2,3,3,4,2,2,3,3,0,3,3,3,1,3,2,4,3,25,0.694444444,22,0.611111111,82,0.683333333,2,5.5,3.4,6,"control",6.2,2.3,3.18522695,34.069565,"pre1",6
"46",23,3,2,3,3,4,2,2,3,3,0,3,3,3,1,3,2,4,3,25,0.694444444,22,0.611111111,82,0.683333333,2,5.5,3.4,6,"control",6.2,2.3,3.18522695,34.069565,"pre4",3.7
"47",24,3,3,3,2,3,3,3,3,1,3,1,3,3,3,4,1,2,3,31,0.861111111,27,0.75,89,0.741666667,1,5.5,6.8,3.5,"above",3.3,4.8,16.8821655,73.80089,"pre1",6.4
"48",24,3,3,3,2,3,3,3,3,1,3,1,3,3,3,4,1,2,3,31,0.861111111,27,0.75,89,0.741666667,1,5.5,6.8,3.5,"above",3.3,4.8,16.8821655,73.80089,"pre4",7.5
"49",25,3,3,3,3,3,3,3,3,2,3,3,3,1,3,3,1,3,3,28,0.777777778,29,0.805555556,91,0.758333333,3,4.8,2.1,2.2,"below",5.55,3.05,5.667855,40.435795,"pre1",7.8
"50",25,3,3,3,3,3,3,3,3,2,3,3,3,1,3,3,1,3,3,28,0.777777778,29,0.805555556,91,0.758333333,3,4.8,2.1,2.2,"below",5.55,3.05,5.667855,40.435795,"pre4",2.8
"51",26,3,4,4,3,3,4,3,3,3,4,3,3,1,1,4,1,3,3,34,0.944444444,28,0.777777778,90,0.75,2,5.9,3.6,3.9,"control",6,2.75,5.8578445,39.23844,"pre1",4.5
"52",26,3,4,4,3,3,4,3,3,3,4,3,3,1,1,4,1,3,3,34,0.944444444,28,0.777777778,90,0.75,2,5.9,3.6,3.9,"control",6,2.75,5.8578445,39.23844,"pre4",6.5
"53",27,3,4,4,3,3,4,4,4,3,4,4,3,3,3,4,1,3,4,31,0.861111111,26,0.722222222,71,0.591666667,1,7.1,7.4,5.6,"above",4.7,3.4,6.3844045,42.82846,"pre1",5.5
"54",27,3,4,4,3,3,4,4,4,3,4,4,3,3,3,4,1,3,4,31,0.861111111,26,0.722222222,71,0.591666667,1,7.1,7.4,5.6,"above",4.7,3.4,6.3844045,42.82846,"pre4",6.4
"55",28,1,2,2,2,1,1,1,1,2,1,1,1,1,1,2,1,1,1,33,0.916666667,24,0.666666667,102,0.85,2,3.9,2.6,2.4,"below",4.25,3.6,15.600606,62.249035,"pre1",5.1
"56",28,1,2,2,2,1,1,1,1,2,1,1,1,1,1,2,1,1,1,33,0.916666667,24,0.666666667,102,0.85,2,3.9,2.6,2.4,"below",4.25,3.6,15.600606,62.249035,"pre4",4.2
"57",29,4,4,4,3,4,4,4,4,2,4,4,3,2,1,3,1,4,3,24,0.666666667,25,0.694444444,70,0.583333333,1,7.9,7.9,8,"above",8,1.85,6.0248205,69.66022,"pre1",7.4
"58",29,4,4,4,3,4,4,4,4,2,4,4,3,2,1,3,1,4,3,24,0.666666667,25,0.694444444,70,0.583333333,1,7.9,7.9,8,"above",8,1.85,6.0248205,69.66022,"pre4",7.5
"59",30,3,4,3,3,3,4,4,4,3,3,3,3,1,3,4,1,3,3,31,0.861111111,30,0.833333333,81,0.675,3,5.9,6.5,5.1,"above",3.75,4.8,8.9460435,41.6506,"pre1",6
"60",30,3,4,3,3,3,4,4,4,3,3,3,3,1,3,4,1,3,3,31,0.861111111,30,0.833333333,81,0.675,3,5.9,6.5,5.1,"above",3.75,4.8,8.9460435,41.6506,"pre4",5.1
"61",31,3,4,2,3,3,2,3,2,1,3,1,4,1,0,3,1,3,3,35,0.972222222,25,0.694444444,90,0.75,1,8.2,5.2,9.3,"above",3.85,3.85,7.897862,37.998435,"pre1",6
"62",31,3,4,2,3,3,2,3,2,1,3,1,4,1,0,3,1,3,3,35,0.972222222,25,0.694444444,90,0.75,1,8.2,5.2,9.3,"above",3.85,3.85,7.897862,37.998435,"pre4",9
"63",32,2,4,3,3,3,2,2,3,1,4,4,3,1,1,4,1,3,4,26,0.722222222,25,0.694444444,92,0.766666667,2,4.7,4.3,4.5,"control",4.6,3.5,4.43204,32.88247,"pre1",4.7
"64",32,2,4,3,3,3,2,2,3,1,4,4,3,1,1,4,1,3,4,26,0.722222222,25,0.694444444,92,0.766666667,2,4.7,4.3,4.5,"control",4.6,3.5,4.43204,32.88247,"pre4",4.6
"65",33,3,4,4,4,3,3,4,4,2,4,4,3,2,3,4,3,3,4,31,0.861111111,28,0.777777778,92,0.766666667,2,5,5.5,5.9,"control",4.65,3,5.410994,34.334165,"pre1",4.9
"66",33,3,4,4,4,3,3,4,4,2,4,4,3,2,3,4,3,3,4,31,0.861111111,28,0.777777778,92,0.766666667,2,5,5.5,5.9,"control",4.65,3,5.410994,34.334165,"pre4",5.9
"67",34,1,2,3,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,29,0.805555556,29,0.805555556,83,0.691666667,2,3,2.5,0.5,"below",7.65,2.55,10.6639325,56.030575,"pre1",5.5
"68",34,1,2,3,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,29,0.805555556,29,0.805555556,83,0.691666667,2,3,2.5,0.5,"below",7.65,2.55,10.6639325,56.030575,"pre4",1.5
"69",35,0,1,3,1,1,1,1,3,1,1,3,1,1,3,2,1,0,1,33,0.916666667,33,0.916666667,104,0.866666667,2,1.4,1.6,1.4,"below",5.45,3,9.5376625,41.023815,"pre1",2.1
"70",35,0,1,3,1,1,1,1,3,1,1,3,1,1,3,2,1,0,1,33,0.916666667,33,0.916666667,104,0.866666667,2,1.4,1.6,1.4,"below",5.45,3,9.5376625,41.023815,"pre4",1.4
"71",36,3,3,3,3,4,2,3,3,4,3,4,3,3,2,4,3,3,3,35,0.972222222,27,0.75,90,0.75,2,7.8,6.1,7.6,"above",5.7,3.15,4.644387,39.016775,"pre1",6
"72",36,3,3,3,3,4,2,3,3,4,3,4,3,3,2,4,3,3,3,35,0.972222222,27,0.75,90,0.75,2,7.8,6.1,7.6,"above",5.7,3.15,4.644387,39.016775,"pre4",5.8
"73",37,2,3,3,4,2,3,2,3,1,1,1,2,2,3,3,2,2,1,30,0.833333333,26,0.722222222,75,0.625,2,3.2,4.6,9.3,"control",6.75,3.15,4.857551,34.110255,"pre1",5.8
"74",37,2,3,3,4,2,3,2,3,1,1,1,2,2,3,3,2,2,1,30,0.833333333,26,0.722222222,75,0.625,2,3.2,4.6,9.3,"control",6.75,3.15,4.857551,34.110255,"pre4",8
"75",38,3,3,3,2,3,3,3,3,2,3,2,3,2,1,3,3,3,3,30,0.833333333,31,0.861111111,96,0.8,3,5,6,7.5,"control",6.45,2.9,4.7010595,28.750515,"pre1",6.3
"76",38,3,3,3,2,3,3,3,3,2,3,2,3,2,1,3,3,3,3,30,0.833333333,31,0.861111111,96,0.8,3,5,6,7.5,"control",6.45,2.9,4.7010595,28.750515,"pre4",6.9
"77",39,3,4,3,3,3,2,3,3,2,3,3,3,2,1,3,2,3,3,33,0.916666667,32,0.888888889,112,0.933333333,3,6.5,6.5,6.6,"above",4.9,3.6,4.6170035,30.968355,"pre1",6.4
"78",39,3,4,3,3,3,2,3,3,2,3,3,3,2,1,3,2,3,3,33,0.916666667,32,0.888888889,112,0.933333333,3,6.5,6.5,6.6,"above",4.9,3.6,4.6170035,30.968355,"pre4",6.4
"79",40,1,1,2,3,1,1,1,1,2,1,1,1,3,1,1,3,1,1,29,0.805555556,30,0.833333333,86,0.716666667,2,1.5,2,5,"below",7.3,2.35,3.250027,34.20401,"pre1",4.8
"80",40,1,1,2,3,1,1,1,1,2,1,1,1,3,1,1,3,1,1,29,0.805555556,30,0.833333333,86,0.716666667,2,1.5,2,5,"below",7.3,2.35,3.250027,34.20401,"pre4",2.7
"81",41,3,3,3,4,3,3,4,4,1,4,4,3,3,1,3,2,3,3,31,0.861111111,29,0.805555556,88,0.733333333,1,5.3,6,5.9,"above",4.45,2.95,3.804354,33.225925,"pre1",5
"82",41,3,3,3,4,3,3,4,4,1,4,4,3,3,1,3,2,3,3,31,0.861111111,29,0.805555556,88,0.733333333,1,5.3,6,5.9,"above",4.45,2.95,3.804354,33.225925,"pre4",6.1
"83",42,3,4,3,4,3,3,4,3,0,4,4,3,1,1,4,2,3,3,35,0.972222222,30,0.833333333,77,0.641666667,2,1.8,0.4,2.1,"above",4.15,3.9,6.2490815,41.731635,"pre1",1.8
"84",42,3,4,3,4,3,3,4,3,0,4,4,3,1,1,4,2,3,3,35,0.972222222,30,0.833333333,77,0.641666667,2,1.8,0.4,2.1,"above",4.15,3.9,6.2490815,41.731635,"pre4",5.3
"85",43,1,4,4,3,4,4,2,4,3,4,3,4,2,3,4,3,4,4,34,0.944444444,32,0.888888889,88,0.733333333,2,6.2,6.5,5.2,"below",4.95,3,5.292976,34.20217,"pre1",5.9
"86",43,1,4,4,3,4,4,2,4,3,4,3,4,2,3,4,3,4,4,34,0.944444444,32,0.888888889,88,0.733333333,2,6.2,6.5,5.2,"below",4.95,3,5.292976,34.20217,"pre4",4.3
"87",44,1,4,2,3,2,2,3,4,1,3,1,1,2,1,4,2,2,4,29,0.805555556,30,0.833333333,99,0.825,3,3.2,3,5.1,"control",3.75,4.1,4.8316925,30.40882,"pre1",3
"88",44,1,4,2,3,2,2,3,4,1,3,1,1,2,1,4,2,2,4,29,0.805555556,30,0.833333333,99,0.825,3,3.2,3,5.1,"control",3.75,4.1,4.8316925,30.40882,"pre4",6.5
"89",45,1,2,0,3,0,1,1,1,2,2,1,1,2,0,2,2,0,1,33,0.916666667,29,0.805555556,93,0.775,2,0.5,0.9,1.1,"control",4.15,4.05,12.1098295,47.500375,"pre1",2.2
"90",45,1,2,0,3,0,1,1,1,2,2,1,1,2,0,2,2,0,1,33,0.916666667,29,0.805555556,93,0.775,2,0.5,0.9,1.1,"control",4.15,4.05,12.1098295,47.500375,"pre4",1.8
"91",46,2,3,3,2,2,2,2,3,3,2,3,2,1,1,2,1,2,3,32,0.888888889,24,0.666666667,79,0.658333333,1,4.4,3.7,3.1,"control",4.1,4.25,14.7810465,57.56888,"pre1",4.9
"92",46,2,3,3,2,2,2,2,3,3,2,3,2,1,1,2,1,2,3,32,0.888888889,24,0.666666667,79,0.658333333,1,4.4,3.7,3.1,"control",4.1,4.25,14.7810465,57.56888,"pre4",5.6
"93",47,2,3,3,3,2,1,3,3,3,3,3,3,3,3,3,1,1,3,29,0.805555556,24,0.666666667,84,0.7,1,4.8,4.7,2.4,"control",4.25,3,5.3734065,39.28527,"pre1",5.9
"94",47,2,3,3,3,2,1,3,3,3,3,3,3,3,3,3,1,1,3,29,0.805555556,24,0.666666667,84,0.7,1,4.8,4.7,2.4,"control",4.25,3,5.3734065,39.28527,"pre4",5.9
"95",48,2,3,3,4,2,3,1,2,3,3,4,2,3,3,1,3,2,3,28,0.777777778,25,0.694444444,87,0.725,1,5,5,3.5,"control",5.55,2.7,17.7138985,64.90319,"pre1",4.2
"96",48,2,3,3,4,2,3,1,2,3,3,4,2,3,3,1,3,2,3,28,0.777777778,25,0.694444444,87,0.725,1,5,5,3.5,"control",5.55,2.7,17.7138985,64.90319,"pre4",4.7
"97",49,2,2,3,1,2,2,1,1,1,2,1,2,1,1,3,1,1,1,28,0.777777778,26,0.722222222,100,0.833333333,1,4.4,4.7,4.5,"above",8.45,1.65,2.9333524,40.93092,"pre1",4.9
"98",49,2,2,3,1,2,2,1,1,1,2,1,2,1,1,3,1,1,1,28,0.777777778,26,0.722222222,100,0.833333333,1,4.4,4.7,4.5,"above",8.45,1.65,2.9333524,40.93092,"pre4",4.3
"99",50,3,4,4,4,4,3,4,4,2,4,4,3,3,2,4,0,4,4,29,0.805555556,21,0.583333333,89,0.741666667,2,7.5,7.4,8.1,"above",6.3,2.95,5.400149,44.671825,"pre1",6.5
"100",50,3,4,4,4,4,3,4,4,2,4,4,3,3,2,4,0,4,4,29,0.805555556,21,0.583333333,89,0.741666667,2,7.5,7.4,8.1,"above",6.3,2.95,5.400149,44.671825,"pre4",6.4
"101",51,2,3,2,3,2,2,3,3,3,3,2,3,3,1,4,3,2,3,32,0.888888889,30,0.833333333,88,0.733333333,1,4.8,3.1,6.5,"control",4.6,3.2,8.6709455,47.368395,"pre1",7.5
"102",51,2,3,2,3,2,2,3,3,3,3,2,3,3,1,4,3,2,3,32,0.888888889,30,0.833333333,88,0.733333333,1,4.8,3.1,6.5,"control",4.6,3.2,8.6709455,47.368395,"pre4",3
"103",52,4,4,3,4,4,3,4,4,3,4,4,3,3,3,4,4,4,4,35,0.972222222,31,0.861111111,101,0.841666667,1,7.4,6.3,6.1,"above",4.85,2.8,5.9310235,31.831455,"pre1",6.6
"104",52,4,4,3,4,4,3,4,4,3,4,4,3,3,3,4,4,4,4,35,0.972222222,31,0.861111111,101,0.841666667,1,7.4,6.3,6.1,"above",4.85,2.8,5.9310235,31.831455,"pre4",8.1
