"","code","question1","question2","question3","question4","question5","question6","question7","question8","question9","question10","question11","question12","question13","question14","question15","question16","question17","question18","vp_sum","vp_propcorrect","cb_sum","cb_propcorrect","csvtm_sum","cvstm_propcorrect","strategies","pre1","pre2","pre3","pre4","post","group_all","mean_rl_all","mean_e1_all","mean_d1_all","mean_d_all"
"1",1,2,3,3,3,2,3,3,3,2,3,3,3,2,2,3,2,3,2,33,0.916666667,26,0.722222222,70,0.583333333,1,6.2,7.5,7.4,6.2,7,"above",5.95,3.05,3.9007195,32.773125
"2",2,3,4,3,4,3,3,3,3,3,3,3,3,3,2,4,4,3,3,27,0.75,27,0.75,73,0.608333333,1,5.5,5.5,2.5,4.4,2.1,"control",5.35,3.25,16.3936395,71.17568
"3",3,2,3,2,1,2,2,2,2,1,1,1,2,1,0,2,1,2,0,33,0.916666667,30,0.833333333,93,0.775,2,8.7,4.5,2.5,2.5,3.2,"below",4.8,3.25,5.576016,36.187635
"4",4,1,2,2,3,1,2,2,0,2,3,1,1,3,2,2,1,1,0,31,0.861111111,27,0.75,83,0.691666667,2,5.2,0.9,1.1,0.6,0.6,"below",6.55,2.55,4.7382675,44.018895
"5",5,3,4,4,2,4,4,4,3,1,4,3,3,1,1,4,2,3,4,32,0.888888889,25,0.694444444,79,0.658333333,1,8.1,4.6,6.7,6.2,6.3,"above",6.15,2.5,5.5296305,42.3393
"6",6,1,3,3,4,3,3,3,4,4,4,3,3,2,3,3,3,3,3,24,0.666666667,23,0.638888889,72,0.6,2,4.9,3.3,2.9,2.1,2.2,"control",6.05,3.05,8.1799,45.001775
"7",7,1,3,3,1,2,2,0,1,2,1,1,1,1,0,1,1,1,1,28,0.777777778,28,0.777777778,94,0.783333333,2,6.8,4.2,7,2,5.2,"control",5,3.3,6.0338725,39.379595
"8",8,1,2,3,3,2,1,2,3,1,2,1,2,1,1,4,1,1,1,27,0.75,27,0.75,85,0.708333333,2,6.5,1.8,1.9,2.3,2.1,"below",5.4,3.3,8.40339,55.312785
"9",9,2,3,3,3,3,3,3,3,3,3,3,3,2,2,3,2,2,3,28,0.777777778,30,0.833333333,72,0.6,1,5.2,6.6,6.3,6.5,7,"above",4.5,3.45,5.404353,39.22149
"10",10,1,4,4,4,3,4,4,3,2,4,3,3,2,3,4,3,3,4,26,0.722222222,26,0.722222222,90,0.75,2,6.6,1.5,1.8,2,1.8,"below",6,2.65,4.274488,39.475235
"11",11,4,2,4,4,3,3,4,4,0,3,3,4,3,3,4,3,2,3,34,0.944444444,29,0.805555556,96,0.8,2,6.3,7.1,6.9,8.5,7,"below",4.65,3.15,7.199051,42.991475
"12",12,2,3,3,2,2,1,1,3,0,1,1,1,0,0,3,0,2,1,18,0.5,29,0.805555556,91,0.758333333,2,3.9,3.2,3.4,0.9,5,"control",4.6,3.4,2.88741,33.83825
"13",13,3,4,4,4,3,3,4,4,2,4,3,3,2,3,4,2,2,4,32,0.888888889,26,0.722222222,106,0.883333333,1,4.9,2.5,5.1,2.9,4.9,"control",4.5,3.5,4.5975385,35.041325
"14",14,3,3,4,3,3,3,3,3,1,3,2,3,2,3,3,2,2,3,35,0.972222222,28,0.777777778,86,0.716666667,2,5,2.1,4.2,4.7,5.9,"control",5.05,2.75,4.0557805,39.577225
"15",15,3,4,3,3,4,3,3,3,3,4,3,3,1,3,4,3,3,3,34,0.944444444,32,0.888888889,82,0.683333333,1,5.9,5.5,5.6,6.3,6.4,"above",3.95,3.45,7.095413,40.827325
"16",16,0,1,2,1,0,1,1,0,3,0,1,1,3,2,1,1,0,0,32,0.888888889,28,0.777777778,87,0.725,2,2.3,2.3,1.9,1.7,1.9,"below",3.2,4.75,11.8771785,49.639495
"17",17,0,1,1,1,0,0,1,2,1,1,2,1,1,0,2,0,1,1,32,0.888888889,28,0.777777778,86,0.716666667,1,5,1,1.5,1.3,1.3,"below",3.85,4.1,10.923,47.690375
"18",18,1,4,3,3,3,3,4,3,1,4,2,3,3,3,4,1,3,3,33,0.916666667,27,0.75,88,0.733333333,1,6.4,2.8,3.8,7.6,3.7,"below",3.95,3.85,6.904739,40.771755
"19",19,2,2,3,3,2,3,1,3,1,2,1,1,4,1,2,1,2,2,31,0.861111111,27,0.75,87,0.725,2,5.6,4.6,3.4,3.3,4.7,"below",5.05,3.6,8.883278,53.09936
"20",20,3,4,4,4,4,3,4,4,1,4,2,3,1,3,4,1,3,4,29,0.805555556,24,0.666666667,85,0.708333333,1,4.1,3.4,2.5,2.3,1.8,"control",4.65,4.6,19.5261635,56.095025
"21",21,2,4,3,3,3,2,3,2,3,3,3,3,2,1,4,3,2,3,34,0.944444444,30,0.833333333,75,0.625,1,6,5.5,5,7.4,4.3,"control",4.9,3.85,6.848548,41.654715
"22",22,1,3,4,3,2,3,1,2,3,3,3,2,1,3,4,2,2,2,28,0.777777778,26,0.722222222,87,0.725,3,4.6,3,3,2.6,5,"below",5.9,3.4,7.4477925,54.876435
"23",23,3,2,3,3,4,2,2,3,3,0,3,3,3,1,3,2,4,3,25,0.694444444,22,0.611111111,82,0.683333333,2,6,5.5,3.4,3.7,6,"control",6.2,2.3,3.18522695,34.069565
"24",24,3,3,3,2,3,3,3,3,1,3,1,3,3,3,4,1,2,3,31,0.861111111,27,0.75,89,0.741666667,1,6.4,5.5,6.8,7.5,3.5,"above",3.3,4.8,16.8821655,73.80089
"25",25,3,3,3,3,3,3,3,3,2,3,3,3,1,3,3,1,3,3,28,0.777777778,29,0.805555556,91,0.758333333,3,7.8,4.8,2.1,2.8,2.2,"below",5.55,3.05,5.667855,40.435795
"26",26,3,4,4,3,3,4,3,3,3,4,3,3,1,1,4,1,3,3,34,0.944444444,28,0.777777778,90,0.75,2,4.5,5.9,3.6,6.5,3.9,"control",6,2.75,5.8578445,39.23844
"27",27,3,4,4,3,3,4,4,4,3,4,4,3,3,3,4,1,3,4,31,0.861111111,26,0.722222222,71,0.591666667,1,5.5,7.1,7.4,6.4,5.6,"above",4.7,3.4,6.3844045,42.82846
"28",28,1,2,2,2,1,1,1,1,2,1,1,1,1,1,2,1,1,1,33,0.916666667,24,0.666666667,102,0.85,2,5.1,3.9,2.6,4.2,2.4,"below",4.25,3.6,15.600606,62.249035
"29",29,4,4,4,3,4,4,4,4,2,4,4,3,2,1,3,1,4,3,24,0.666666667,25,0.694444444,70,0.583333333,1,7.4,7.9,7.9,7.5,8,"above",8,1.85,6.0248205,69.66022
"30",30,3,4,3,3,3,4,4,4,3,3,3,3,1,3,4,1,3,3,31,0.861111111,30,0.833333333,81,0.675,3,6,5.9,6.5,5.1,5.1,"above",3.75,4.8,8.9460435,41.6506
"31",31,3,4,2,3,3,2,3,2,1,3,1,4,1,0,3,1,3,3,35,0.972222222,25,0.694444444,90,0.75,1,6,8.2,5.2,9,9.3,"above",3.85,3.85,7.897862,37.998435
"32",32,2,4,3,3,3,2,2,3,1,4,4,3,1,1,4,1,3,4,26,0.722222222,25,0.694444444,92,0.766666667,2,4.7,4.7,4.3,4.6,4.5,"control",4.6,3.5,4.43204,32.88247
"33",33,3,4,4,4,3,3,4,4,2,4,4,3,2,3,4,3,3,4,31,0.861111111,28,0.777777778,92,0.766666667,2,4.9,5,5.5,5.9,5.9,"control",4.65,3,5.410994,34.334165
"34",34,1,2,3,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,29,0.805555556,29,0.805555556,83,0.691666667,2,5.5,3,2.5,1.5,0.5,"below",7.65,2.55,10.6639325,56.030575
"35",35,0,1,3,1,1,1,1,3,1,1,3,1,1,3,2,1,0,1,33,0.916666667,33,0.916666667,104,0.866666667,2,2.1,1.4,1.6,1.4,1.4,"below",5.45,3,9.5376625,41.023815
"36",36,3,3,3,3,4,2,3,3,4,3,4,3,3,2,4,3,3,3,35,0.972222222,27,0.75,90,0.75,2,6,7.8,6.1,5.8,7.6,"above",5.7,3.15,4.644387,39.016775
"37",37,2,3,3,4,2,3,2,3,1,1,1,2,2,3,3,2,2,1,30,0.833333333,26,0.722222222,75,0.625,2,5.8,3.2,4.6,8,9.3,"control",6.75,3.15,4.857551,34.110255
"38",38,3,3,3,2,3,3,3,3,2,3,2,3,2,1,3,3,3,3,30,0.833333333,31,0.861111111,96,0.8,3,6.3,5,6,6.9,7.5,"control",6.45,2.9,4.7010595,28.750515
"39",39,3,4,3,3,3,2,3,3,2,3,3,3,2,1,3,2,3,3,33,0.916666667,32,0.888888889,112,0.933333333,3,6.4,6.5,6.5,6.4,6.6,"above",4.9,3.6,4.6170035,30.968355
"40",40,1,1,2,3,1,1,1,1,2,1,1,1,3,1,1,3,1,1,29,0.805555556,30,0.833333333,86,0.716666667,2,4.8,1.5,2,2.7,5,"below",7.3,2.35,3.250027,34.20401
"41",41,3,3,3,4,3,3,4,4,1,4,4,3,3,1,3,2,3,3,31,0.861111111,29,0.805555556,88,0.733333333,1,5,5.3,6,6.1,5.9,"above",4.45,2.95,3.804354,33.225925
"42",42,3,4,3,4,3,3,4,3,0,4,4,3,1,1,4,2,3,3,35,0.972222222,30,0.833333333,77,0.641666667,2,1.8,1.8,0.4,5.3,2.1,"above",4.15,3.9,6.2490815,41.731635
"43",43,1,4,4,3,4,4,2,4,3,4,3,4,2,3,4,3,4,4,34,0.944444444,32,0.888888889,88,0.733333333,2,5.9,6.2,6.5,4.3,5.2,"below",4.95,3,5.292976,34.20217
"44",44,1,4,2,3,2,2,3,4,1,3,1,1,2,1,4,2,2,4,29,0.805555556,30,0.833333333,99,0.825,3,3,3.2,3,6.5,5.1,"control",3.75,4.1,4.8316925,30.40882
"45",45,1,2,0,3,0,1,1,1,2,2,1,1,2,0,2,2,0,1,33,0.916666667,29,0.805555556,93,0.775,2,2.2,0.5,0.9,1.8,1.1,"control",4.15,4.05,12.1098295,47.500375
"46",46,2,3,3,2,2,2,2,3,3,2,3,2,1,1,2,1,2,3,32,0.888888889,24,0.666666667,79,0.658333333,1,4.9,4.4,3.7,5.6,3.1,"control",4.1,4.25,14.7810465,57.56888
"47",47,2,3,3,3,2,1,3,3,3,3,3,3,3,3,3,1,1,3,29,0.805555556,24,0.666666667,84,0.7,1,5.9,4.8,4.7,5.9,2.4,"control",4.25,3,5.3734065,39.28527
"48",48,2,3,3,4,2,3,1,2,3,3,4,2,3,3,1,3,2,3,28,0.777777778,25,0.694444444,87,0.725,1,4.2,5,5,4.7,3.5,"control",5.55,2.7,17.7138985,64.90319
"49",49,2,2,3,1,2,2,1,1,1,2,1,2,1,1,3,1,1,1,28,0.777777778,26,0.722222222,100,0.833333333,1,4.9,4.4,4.7,4.3,4.5,"above",8.45,1.65,2.9333524,40.93092
"50",50,3,4,4,4,4,3,4,4,2,4,4,3,3,2,4,0,4,4,29,0.805555556,21,0.583333333,89,0.741666667,2,6.5,7.5,7.4,6.4,8.1,"above",6.3,2.95,5.400149,44.671825
"51",51,2,3,2,3,2,2,3,3,3,3,2,3,3,1,4,3,2,3,32,0.888888889,30,0.833333333,88,0.733333333,1,7.5,4.8,3.1,3,6.5,"control",4.6,3.2,8.6709455,47.368395
"52",52,4,4,3,4,4,3,4,4,3,4,4,3,3,3,4,4,4,4,35,0.972222222,31,0.861111111,101,0.841666667,1,6.6,7.4,6.3,8.1,6.1,"above",4.85,2.8,5.9310235,31.831455
"53",53,1,3,4,3,3,3,3,3,0,4,4,3,3,1,4,3,3,4,33,0.916666667,26,0.722222222,72,0.6,2,5,7.3,8.4,7.6,8,"below",5.4,3.1,4.152399,32.97924
"54",54,2,4,3,3,3,2,2,3,1,3,4,3,1,1,3,1,2,3,34,0.944444444,27,0.75,100,0.833333333,1,5.2,6.2,6.5,5.2,6,"above",4.3,3.9,6.62626,37.83488
"55",55,3,3,3,1,2,2,3,3,2,3,2,2,3,1,3,1,2,3,30,0.833333333,28,0.777777778,93,0.775,2,4.6,4.7,5.8,5.5,5.2,"control",4.9,3.2,3.8657205,32.500305
"56",56,3,3,4,1,2,2,2,3,1,1,1,2,1,1,2,1,2,1,30,0.833333333,19,0.527777778,81,0.675,2,4.6,2.6,1.7,1.8,7.5,"above",6.45,2.5,4.4196645,46.14527
"57",57,4,4,3,4,4,4,3,3,1,4,3,4,1,3,4,2,4,4,29,0.805555556,32,0.888888889,89,0.741666667,2,5.5,6,6.4,5.5,5.2,"above",3.7,3.8,9.7958045,49.20395
"58",58,2,4,3,3,2,1,2,3,1,4,3,3,2,1,3,0,3,4,32,0.888888889,30,0.833333333,104,0.866666667,1,5.4,4.7,6.4,6.1,4.3,"above",3.95,3.5,8.1804025,40.25076
"59",59,3,4,3,3,4,3,4,3,1,4,4,4,2,2,3,3,3,3,30,0.833333333,30,0.833333333,76,0.633333333,1,5.2,5.5,3.7,5.5,6.5,"control",4.75,3.25,4.8958135,33.787215
"60",60,3,4,2,4,3,2,3,4,3,4,4,3,2,3,4,3,3,4,32,0.888888889,33,0.916666667,92,0.766666667,1,5.7,6,6,6.4,6.2,"control",2.9,5.55,17.8554305,50.33883
"61",61,3,4,4,2,4,3,2,4,1,3,2,3,1,3,4,1,3,4,24,0.666666667,30,0.833333333,93,0.775,2,6.2,5,7.2,5.2,4.9,"control",7.5,2.5,6.291214,50.13099
"62",62,3,4,3,2,3,3,3,4,4,3,2,4,3,1,4,2,3,3,31,0.861111111,29,0.805555556,93,0.775,1,5,5.5,5.5,5.5,4.4,"above",3.55,4,8.0375245,48.557535
"63",63,3,3,3,4,3,3,3,4,2,3,3,3,1,3,4,3,3,4,31,0.861111111,30,0.833333333,99,0.825,2,6.1,3.5,4.6,6.4,6.6,"control",6.35,2.45,2.5054525,31.811945
"64",64,3,3,3,3,3,3,3,3,1,3,2,3,3,1,3,3,3,3,29,0.805555556,31,0.861111111,88,0.733333333,2,8.1,7,2,2.4,2.9,"below",6.6,2.2,3.806282,37.763215
"65",65,2,2,4,1,3,3,1,1,4,3,2,1,1,0,2,0,2,2,34,0.944444444,29,0.805555556,102,0.85,3,6.1,7,2.2,5.6,0.4,"control",3.7,4.45,8.363002,38.038225
"66",66,3,4,4,3,3,3,4,4,3,4,4,3,3,3,4,3,3,3,29,0.805555556,28,0.777777778,80,0.666666667,3,3.5,1.2,2.4,2.1,3.5,"below",6.15,3.3,4.41095,35.42018
"67",67,3,4,4,4,4,4,4,4,0,4,4,3,0,4,4,3,3,4,29,0.805555556,24,0.666666667,81,0.675,2,4.6,4.8,4.6,4.8,5,"below",4,4.3,10.5871415,49.91602
"68",68,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,34,0.944444444,32,0.888888889,87,0.725,1,7,6.6,7.7,7.7,9.2,"above",3.45,4.1,6.6269685,33.62272
"69",69,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,28,0.777777778,24,0.666666667,82,0.683333333,1,6.1,2.5,1.5,2.2,2.5,"below",6.15,2.7,5.1950305,39.87968
"70",70,1,2,4,4,3,4,3,3,1,2,2,3,1,1,3,1,2,3,26,0.722222222,25,0.694444444,88,0.733333333,2,4.9,5,4.6,2.3,1.3,"below",7.35,2.2,7.67018,52.1502
"71",71,1,2,3,1,2,3,2,1,1,2,3,2,2,1,2,1,1,2,29,0.805555556,27,0.75,88,0.733333333,1,7.8,4.7,4.6,4.2,6.7,"below",6.8,2.9,6.842088,44.391615
"72",72,3,3,4,4,3,3,4,4,0,4,4,3,4,0,4,0,2,4,27,0.75,24,0.666666667,81,0.675,2,6.9,7,6,6.8,4,"control",4.7,3.55,10.9484405,57.1151
"73",73,0,1,1,0,2,1,1,3,3,1,3,1,1,1,1,0,1,0,30,0.833333333,31,0.861111111,90,0.75,1,3.6,6.4,7.6,7.8,8.8,"above",6.7,2.35,4.1003457,33.733045
"74",74,3,2,3,4,1,2,2,3,3,2,3,3,3,3,4,4,2,1,26,0.722222222,28,0.777777778,90,0.75,1,4.8,5,6,6.9,5,"above",4.75,3.5,6.7566745,41.98138
"75",75,3,3,3,4,3,3,3,2,3,3,3,3,1,2,3,3,3,3,29,0.805555556,24,0.666666667,93,0.775,2,5.9,4.8,5.9,3.5,5.5,"control",5.9,2.6,4.606528,37.66031
"76",76,2,3,3,3,3,2,4,4,3,3,2,2,1,3,4,1,2,3,31,0.861111111,27,0.75,91,0.758333333,2,4.8,3.1,2.8,3.2,3,"below",4.5,3.5,6.3747055,41.060095
"77",77,1,4,3,3,2,3,2,3,3,3,3,3,1,3,3,3,3,3,35,0.972222222,29,0.805555556,85,0.708333333,2,5,6.6,5.2,4.8,5.9,"above",4.4,3.3,4.35375,35.67522
"78",78,3,4,3,3,4,3,3,3,2,3,2,3,3,2,3,1,3,4,35,0.972222222,35,0.972222222,113,0.941666667,1,8.9,8.4,8.8,8.1,6.3,"above",3.35,4.6,11.2956855,44.275715
